datazone,retailer_count,total_population,simd_decile,simd_rank,simd_quintile,income_rank,health_rank,employment_rank,education_rank,access_rank,crime_rank,housing_rank,alcohol_admissions,drug_admissions,smoking_rate,urban_rural,retailers_adj,income_quintile,access_quintile,urban_rural_2cat
S01006506,34,894,7,4691,4,3936,5174,3220,5887,4724,4664,3248,29,30,9.09,Accessible Small Towns,38.03131991051454,Third,Fourth,Urban
S01006507,19,793,7,4862,4,4829,5051,4481,4384,2148,4602,3486,130,126,11.11,Accessible Small Towns,23.95964691046658,Fourth,Second,Urban
S01006508,16,624,9,5686,5,4460,5942,5110,5915,4200,4563.5,5342,71,18,4.76,Accessible Small Towns,25.64102564102564,Fourth,Fourth,Urban
S01006509,12,537,7,4332,4,3481,3871,3229,6401,3982,5626,4394.5,80,28,17.65,Accessible Small Towns,22.3463687150838,Third,Third,Urban
S01006510,20,663,6,3913,3,3344,3049,3448,4092,5588,3885,3736,89,44,12.5,Accessible Small Towns,30.165912518853695,Third,Least deprived,Urban
S01006511,17,759,9,6253,5,5469,5783,5346,5410,4974,6928,5924,55,0,0,Accessible Small Towns,22.397891963109355,Fourth,Fourth,Urban
S01006512,27,539,9,5692,5,6264,6586,6206,6506,547,4528,4815,29,0,0,Accessible Rural,50.09276437847866,Least deprived,Most deprived,Rural
S01006513,19,788,9,6177,5,6572,5516,5695,6531,1490,6928,6394,28,0,0,Accessible Small Towns,24.111675126903553,Least deprived,Second,Urban
S01006514,29,1123,10,6715,5,6704,6733,6658,6847,1858,5507,6868,18,0,0,Accessible Small Towns,25.823686553873554,Least deprived,Second,Urban
S01006515,21,816,10,6363,5,6955,6846,6803,6838,659,6844,6174.5,23,0,0,Accessible Small Towns,25.735294117647054,Least deprived,Most deprived,Urban
S01006516,16,629,9,5947,5,6359,6852,5542,6631,1037,4580,6570,19,0,0,Accessible Small Towns,25.437201907790143,Least deprived,Most deprived,Urban
S01006517,38,1052,9,5772,5,6335,6159,5324,6704,931,5594,5892,31,16,0,Large Urban,36.12167300380228,Least deprived,Most deprived,Urban
S01006518,21,664,10,6674,5,6864,6919,6851,6960,1161,6792,6960,11,57,0,Large Urban,31.626506024096383,Least deprived,Most deprived,Urban
S01006519,17,941,9,6229,5,6474,6776,6284,6904,938,5628,6856,4,37,0,Large Urban,18.065887353878853,Least deprived,Most deprived,Urban
S01006520,14,875,10,6490,5,6831,6940,6920,6965,785,6928,6825,25,37,0,Large Urban,16,Least deprived,Most deprived,Urban
S01006521,22,793,10,6519,5,6952,6952,6896.5,6808,904,5889,6869,5,0,0,Large Urban,27.742749054224465,Least deprived,Most deprived,Urban
S01006522,17,675,10,6769,5,6969,6930,6955,6931,1385,6273,6841,12,0,0,Large Urban,25.185185185185187,Least deprived,Most deprived,Urban
S01006523,33,957,10,6504,5,5955.5,6423,6373,6906,2357,5000,6581,51,0,0,Large Urban,34.48275862068965,Least deprived,Second,Urban
S01006524,32,1056,6,4175,3,3368,4161,2956,6256,3281,6586,6240,76,32,0,Large Urban,30.303030303030305,Third,Third,Urban
S01006525,24,904,9,6143,5,5748,5894,5409.5,6810,2432,5803,6259.5,57,38,6.25,Large Urban,26.54867256637168,Least deprived,Second,Urban
S01006526,20,924,4,2538,2,2796,2897,3450,1073,1906,5840,1454,119,68,13.51,Large Urban,21.645021645021643,Third,Second,Urban
S01006527,15,756,3,2030,2,2045,2072,2228,1360,2976,2692,3235,161,258,11.76,Large Urban,19.84126984126984,Second,Third,Urban
S01006528,35,1154,6,3834,3,3529,3285,4079,3178,3717,3786,1723,126,46,12.82,Large Urban,30.329289428076255,Third,Third,Urban
S01006529,17,932,6,3770,3,3619,4117,4557,2612,3842,1432,945,98,13,9.38,Large Urban,18.240343347639485,Third,Third,Urban
S01006530,18,785,4,2218,2,2282,2679,2360,1021,5745,2494,1626.5,117,115,30,Large Urban,22.929936305732483,Second,Least deprived,Urban
S01006531,20,946,3,1611,2,1802,1933,2419,320,5143,2237,1122,187,165,42.11,Large Urban,21.14164904862579,Second,Fourth,Urban
S01006532,18,793,9,5977,5,5440,5684,5265,6177,3920,3342,6110,20,0,0,Large Urban,22.69861286254729,Fourth,Third,Urban
S01006533,22,717,10,6786,5,6688,6790,6361,6781,3089,4095,6946,25,0,0,Large Urban,30.683403068340308,Least deprived,Third,Urban
S01006534,21,956,10,6831,5,6483,6760,6616,6588,4158,3383,6168,38,14,0,Large Urban,21.966527196652716,Least deprived,Third,Urban
S01006535,23,1046,10,6734,5,6182,6633,6081,6174,5586,4257,2839,36,50,3.57,Large Urban,21.988527724665392,Least deprived,Least deprived,Urban
S01006536,27,1003,9,5634,5,5325,5967,5383,4874,5925,1729,1197,81,28,6.06,Large Urban,26.91924227318046,Fourth,Least deprived,Urban
S01006537,26,920,10,6664,5,6697,5227,6758,6845,2127,6866,6398,119,265,3.57,Large Urban,28.26086956521739,Least deprived,Second,Urban
S01006538,12,548,10,6457,5,6724,6474,6391,6537,1286,6731,6461.5,51,0,6.67,Large Urban,21.897810218978105,Least deprived,Most deprived,Urban
S01006539,14,781,10,6727,5,6250.5,6374,6109,6757,3394,5867,6328,0,0,4.17,Large Urban,17.92573623559539,Least deprived,Third,Urban
S01006540,28,933,10,6478,5,6516,6597,5795,6561,2417,5378,4761,23,0,3.57,Large Urban,30.010718113612004,Least deprived,Second,Urban
S01006541,24,864,10,6548,5,5792,5596,5861,6878,3887,6463,6619,14,0,4.76,Large Urban,27.777777777777775,Least deprived,Third,Urban
S01006542,32,1131,10,6751,5,6862,6667,6611,6535,2069,5703,6239,23,15,0,Large Urban,28.29354553492484,Least deprived,Second,Urban
S01006543,22,792,10,6756,5,6641,5682,6493,6676,2700,6928,6900,66,22,5.88,Large Urban,27.777777777777775,Least deprived,Second,Urban
S01006544,35,1283,10,6937,5,6644,6511,6927,6534,4316,6663,3379.5,21,20,5,Large Urban,27.279812938425565,Least deprived,Fourth,Urban
S01006545,28,1120,10,6594,5,6217.5,6012,5967,6408,4572,3834,4757,42,75,0,Large Urban,25,Least deprived,Fourth,Urban
S01006546,18,624,10,6951,5,6663.5,6305,5953,6966,6399,6928,6799,22,48,0,Large Urban,28.846153846153847,Least deprived,Least deprived,Urban
S01006547,43,1242,6,3784,3,4021,4381,3752,6395,661,2085,4090,139,124,5.17,Large Urban,34.62157809983897,Third,Most deprived,Urban
S01006548,19,658,10,6455,5,6623,6698,6264,6765,1259,6928,6499,5,0,0,Large Urban,28.87537993920973,Least deprived,Most deprived,Urban
S01006549,34,796,10,6820,5,6908,6466,6827,6819,2363,5084,6004,38,0,0,Large Urban,42.713567839195974,Least deprived,Second,Urban
S01006550,30,900,10,6760,5,6875,6378,6706,6963,2008,5324,6585,19,0,0,Large Urban,33.333333333333336,Least deprived,Second,Urban
S01006551,15,704,3,1474,2,1882,2047,999,3550,1754,523,1502,307,63,0,Large Urban,21.30681818181818,Second,Second,Urban
S01006552,19,884,9,6084,5,5879,6688,6124,5534,1694,5052,6637,62,15,0,Large Urban,21.493212669683256,Least deprived,Second,Urban
S01006553,22,903,8,5280,4,5211,4149,4719,5829,2781,4687,4628,20,20,18.75,Large Urban,24.36323366555925,Fourth,Second,Urban
S01006554,25,777,6,3924,3,3537,4396,3857,4216,4460,923,2235,26,35,7.69,Large Urban,32.17503217503218,Third,Fourth,Urban
S01006555,20,732,3,1608,2,2495,1362,1432,2039,2597,463,1067,247,488,29.41,Large Urban,27.3224043715847,Second,Second,Urban
S01006556,19,804,4,2292,2,2037,2261,1937,3187,4613,2882,1660,75,166,21.43,Large Urban,23.6318407960199,Second,Fourth,Urban
S01006557,13,679,3,1446,2,1871,1076,1328,1680,1835,3052,2323,207,145,20.83,Large Urban,19.145802650957293,Second,Second,Urban
S01006558,16,596,10,6797,5,6207,6490,6023.5,6707,6316,4134,2751,25,0,0,Large Urban,26.845637583892614,Least deprived,Least deprived,Urban
S01006559,18,601,10,6972,5,6709,6845,6749,6918,6569,4464,5199,6,0,0,Large Urban,29.950083194675543,Least deprived,Least deprived,Urban
S01006560,31,1018,10,6953,5,6498.5,6048,6817,6720,6116,5547,5876,48,14,0,Large Urban,30.45186640471513,Least deprived,Least deprived,Urban
S01006561,20,728,10,6975,5,6888,6714,6873,6629,6844,3906,6509,88,0,0,Large Urban,27.47252747252747,Least deprived,Least deprived,Urban
S01006562,20,972,7,4724,4,4550,4127,3514,5671,3680,4252,4177.5,78,16,9.68,Large Urban,20.5761316872428,Fourth,Third,Urban
S01006563,87,677,8,5035,4,5609.5,4954,4939,6349,5453,90,2829,11,0,5.56,Large Urban,128.50812407680945,Least deprived,Fourth,Urban
S01006564,24,1007,5,3336,3,3294,3595,3088,2578,6560,2221,608,71,65,10.34,Large Urban,23.83316782522344,Third,Least deprived,Urban
S01006565,21,1000,6,3653,3,3675,4499,3803,2041,5613,3067,140,93,61,10.34,Large Urban,21,Third,Least deprived,Urban
S01006566,21,761,9,5826,5,4950,5938,5202,5650,6722,2545,1947,26,68,4.35,Large Urban,27.59526938239159,Fourth,Least deprived,Urban
S01006567,22,744,4,2656,2,2757,3028,2013,3539,6205,1695,275,144,123,6.67,Large Urban,29.56989247311828,Second,Least deprived,Urban
S01006568,24,921,9,5931,5,5946,6234,5682,4018,6846,2570,649,57,29,0,Large Urban,26.058631921824105,Least deprived,Least deprived,Urban
S01006569,13,561,8,5320,4,4657,4850,4000,6566,6720,3977,1285,92,20,9.52,Large Urban,23.172905525846705,Fourth,Least deprived,Urban
S01006570,19,739,10,6963,5,6712,6906,6683,6727,6493,4688,4238,0,0,3.23,Large Urban,25.71041948579161,Least deprived,Least deprived,Urban
S01006571,54,911,10,6414,5,6029,6727,6230,6699,6283,715,3853,66,0,4,Large Urban,59.27552140504939,Least deprived,Least deprived,Urban
S01006572,25,957,10,6930,5,6953,6924,6902,6972,3422,4036,6285,56,0,0,Large Urban,26.12330198537095,Least deprived,Third,Urban
S01006573,12,790,10,6974,5,6702,6893,6895,6804,5395,5882,6618,120,19,0,Large Urban,15.189873417721518,Least deprived,Fourth,Urban
S01006574,33,1017,10,6865,5,6496,6841,6928,6916,4775,2159,6086,44,14,0,Large Urban,32.448377581120944,Least deprived,Fourth,Urban
S01006575,18,981,10,6960,5,6922,6933,6933,6934,4584,4482,5762,44,12,8,Large Urban,18.34862385321101,Least deprived,Fourth,Urban
S01006576,23,730,10,6515,5,6639,6599,5841,6769,4761,1411,4755,53,0,9.52,Large Urban,31.506849315068497,Least deprived,Fourth,Urban
S01006577,21,814,10,6717,5,6239,6258,5906,6628,6279,4208,1826,58,13,4.17,Large Urban,25.7985257985258,Least deprived,Least deprived,Urban
S01006578,17,1105,8,5471,4,5174,5273,5030,4547,6265,3517,566,150,105,2.7,Large Urban,15.384615384615383,Fourth,Least deprived,Urban
S01006579,19,1048,10,6411,5,5893,6631,5714,5799,6301,3656,1024,80,32,3.45,Large Urban,18.12977099236641,Least deprived,Least deprived,Urban
S01006580,15,724,10,6296,5,5526,6181,5502.5,6547,6215,3888,1196,94,0,0,Large Urban,20.718232044198896,Fourth,Least deprived,Urban
S01006581,19,949,10,6967,5,6939,6786,6721,6844,4704,6323,6019,37,15,0,Large Urban,20.02107481559536,Least deprived,Fourth,Urban
S01006582,39,820,6,3921,3,5328,6144,5465.5,1721,4563,12,722,170,152,14.29,Large Urban,47.5609756097561,Fourth,Fourth,Urban
S01006583,18,695,8,5250,4,5114,6666,6067,1880,5730,2950,1568,51,27,0,Large Urban,25.899280575539567,Fourth,Least deprived,Urban
S01006584,24,612,10,6357,5,6420,6670,6009,4634,6572,2961,640,56,0,5.56,Large Urban,39.21568627450981,Least deprived,Least deprived,Urban
S01006585,31,831,4,2375,2,2989,2276,2304,3097,6171,208,394,256,185,17.24,Large Urban,37.30445246690734,Third,Least deprived,Urban
S01006586,82,1049,5,3228,3,3878,3686,4407,2926,5174,15,286,84,103,21.43,Large Urban,78.16968541468066,Third,Fourth,Urban
S01006587,65,571,3,1562,2,2398,1922,1866,1370,4030,16,184,366,86,23.53,Large Urban,113.8353765323993,Second,Third,Urban
S01006588,38,626,5,3265,3,4588,5423,4289,1656,5881,7,77,132,45,16.67,Large Urban,60.70287539936102,Fourth,Least deprived,Urban
S01006589,22,680,5,3415,3,3779,5558,3923,2848,5486,89,250,69,14,18.18,Large Urban,32.352941176470594,Third,Fourth,Urban
S01006590,25,801,4,2720,2,4034,3970,3850,654,5112,501,231,219,236,7.69,Large Urban,31.21098626716604,Third,Fourth,Urban
S01006591,15,744,7,4598,4,4591,4311,4350,3592,6090,2238,522,245,175,0,Large Urban,20.161290322580644,Fourth,Least deprived,Urban
S01006592,14,742,10,6908,5,6768,6936,6762,6870,4165,4431,2855.5,42,12,0,Large Urban,18.867924528301884,Least deprived,Third,Urban
S01006593,14,837,10,6609,5,6022,6909,6371,5295,5287,4259,1917,24,0,2.78,Large Urban,16.726403823178018,Least deprived,Fourth,Urban
S01006594,12,534,10,6383,5,5872,6559,5508,5979,6087,3005,2533,81,0,0,Large Urban,22.47191011235955,Least deprived,Least deprived,Urban
S01006595,16,956,9,6116,5,5461,5651,5507,5163,5624,5654,1991,80,40,0,Large Urban,16.736401673640167,Fourth,Least deprived,Urban
S01006596,19,784,10,6881,5,6632,6475,6660,6613,5341,4310,2111,73,0,0,Large Urban,24.23469387755102,Least deprived,Fourth,Urban
S01006597,12,530,6,3712,3,4262,4394,3570,2724,6368,665,391,83,16,15.79,Large Urban,22.641509433962263,Fourth,Least deprived,Urban
S01006598,21,1017,10,6810,5,6880,6843,6455,6444,3283,3870,5861.5,18,24,0,Large Urban,20.64896755162242,Least deprived,Third,Urban
S01006599,16,812,5,2958,3,3137,2894,2643,2905,4082,2024,1919,120,282,35,Large Urban,19.704433497536947,Third,Third,Urban
S01006600,23,1238,10,6316,5,5644,5122,6054,5666,5801,4375,2801,44,152,2.86,Large Urban,18.578352180936992,Least deprived,Least deprived,Urban
S01006601,22,1038,8,5017,4,4767,5046,3865,4340,6166,3923,1929,69,105,3.7,Large Urban,21.19460500963391,Fourth,Least deprived,Urban
S01006602,14,896,10,6840,5,5615,6481,6479,6608,5266,6677,6407,73,58,0,Large Urban,15.625,Least deprived,Fourth,Urban
S01006603,27,803,2,1367,1,2116,1475,1062,1009,3364,1098,2099,134,108,18.92,Large Urban,33.623910336239106,Second,Third,Urban
S01006604,13,653,5,3121,3,2915,2798,3244,2419,4156,3854,2418,140,23,30.43,Large Urban,19.90811638591118,Third,Third,Urban
S01006605,18,781,3,1743,2,1566,1381,2180,1253,5966,1276,2105,425,123,17.65,Large Urban,23.047375160051217,Second,Least deprived,Urban
S01006606,20,794,6,4154,3,4419,3569,3586,3619,3471,3734,3625,78,19,16,Large Urban,25.188916876574307,Fourth,Third,Urban
S01006607,17,919,5,3196,3,3288,3424,3120,1564,5821,4292,1663,97,165,16.22,Large Urban,18.498367791077257,Third,Least deprived,Urban
S01006608,58,1653,8,5522,4,5860,6214,6263,4902,965,3653,4827,38,0,1.12,Large Urban,35.08771929824561,Least deprived,Most deprived,Urban
S01006609,29,1054,5,3070,3,3219,3138,3563,1406,5070,2254.5,2227,128,85,15.79,Large Urban,27.514231499051235,Third,Fourth,Urban
S01006610,12,431,4,2413,2,2889,2026,1746,2239,5441,4338,2130,207,67,43.75,Large Urban,27.842227378190255,Third,Fourth,Urban
S01006611,24,906,5,2957,3,2979,2393,2690.5,3204,4710,2426,1946,137,134,22.58,Large Urban,26.490066225165563,Third,Fourth,Urban
S01006612,25,858,7,4528,4,4720,4088,4218,3489,3337,2921,4272,70,16,17.39,Large Urban,29.137529137529135,Fourth,Third,Urban
S01006613,7,591,10,6733,5,6767,6678,6615,5837,3205,3842,5294,12,0,7.14,Large Urban,11.844331641285956,Least deprived,Third,Urban
S01006614,10,669,10,6443,5,5973,6260,5994,5211,3566,6266,6277,73,36,4.76,Large Urban,14.947683109118088,Least deprived,Third,Urban
S01006615,15,838,9,6252,5,5671.5,6837,6342,6179,1704,5958,6640,24,0,10,Large Urban,17.899761336515514,Least deprived,Second,Urban
S01006616,15,747,10,6374,5,6408,5434,5775,4960,4163,6081,4782,103,16,0,Large Urban,20.080321285140563,Least deprived,Third,Urban
S01006617,25,635,8,5492,4,6044,4765,4822,3763,4624,3533,4538,37,24,16.67,Large Urban,39.37007874015748,Least deprived,Fourth,Urban
S01006618,11,474,10,6688,5,6525.5,5585,6781,4415,4723,6322,5357,65,67,14.29,Large Urban,23.20675105485232,Least deprived,Fourth,Urban
S01006619,26,869,8,5487,4,6080,4777,5100,3996,2657,5501,4641,40,16,13.33,Large Urban,29.919447640966627,Least deprived,Second,Urban
S01006620,14,786,8,5059,4,4964,4357,4983.5,3094,4533,4579,3973,26,0,13.79,Large Urban,17.811704834605596,Fourth,Fourth,Urban
S01006621,5,504,8,5523,4,5877.5,4438,4741,3562,5045,6375,4009.5,85,0,12.5,Large Urban,9.92063492063492,Least deprived,Fourth,Urban
S01006622,8,663,9,6069,5,5485.5,5589,5293,5119,5085,6255,3067,42,36,20,Large Urban,12.066365007541478,Fourth,Fourth,Urban
S01006623,67,719,4,2241,2,3719.5,2283,2330,2064,3045,60,2155,118,36,18.18,Large Urban,93.18497913769124,Third,Third,Urban
S01006624,21,771,3,2058,2,3093,2825,2176,491,6786,1381,160,212,289,15.63,Large Urban,27.237354085603112,Third,Least deprived,Urban
S01006625,12,621,5,3148,3,3051,3366,3199,2947,6754,567,1674,71,64,15.38,Large Urban,19.32367149758454,Third,Least deprived,Urban
S01006626,14,683,2,1300,1,1781,1293,1222,923,6458,374,684,268,243,30.3,Large Urban,20.497803806734993,Second,Least deprived,Urban
S01006627,26,818,2,1238,1,2123,1840,1619,84,6262,1592,84,194,349,30,Large Urban,31.78484107579462,Second,Least deprived,Urban
S01006628,37,1055,4,2163,2,2798,3127,2219,1396,6714,313,45,173,176,13.04,Large Urban,35.07109004739337,Third,Least deprived,Urban
S01006629,16,872,2,1081,1,1053,1226,1570,334,6681,1272,902,595,141,33.33,Large Urban,18.34862385321101,Most deprived,Least deprived,Urban
S01006630,14,652,3,1425,2,1280,1890,1755.5,770,5006,1393,1174,25,181,0,Large Urban,21.472392638036812,Most deprived,Fourth,Urban
S01006631,31,1047,2,1207,1,1839,1971,1865,194,2542,550,795,157,129,29.03,Large Urban,29.60840496657115,Second,Second,Urban
S01006632,13,826,2,1288,1,1480,2111,1531,397,5338,820,759,150,211,35,Large Urban,15.738498789346249,Second,Fourth,Urban
S01006633,18,660,1,657,1,798,1231,650,621,5012,56,776,248,402,53.57,Large Urban,27.27272727272727,Most deprived,Fourth,Urban
S01006634,10,624,1,417,1,563,765,583,252,3094,100,1070,244,442,38.1,Large Urban,16.025641025641026,Most deprived,Third,Urban
S01006635,13,627,3,1480,2,1941,2481,1910.5,377,4594,736,731,76,429,29.03,Large Urban,20.73365231259968,Second,Fourth,Urban
S01006636,11,798,2,754,1,759,1001,893,1216,1907,343,983,315,482,31.71,Large Urban,13.784461152882203,Most deprived,Second,Urban
S01006637,59,772,4,2463,2,3313.5,3572,3030,1207,3515,544,457,127,63,0,Large Urban,76.42487046632124,Third,Third,Urban
S01006638,20,779,3,1630,2,2310,1843,1838,714,6664,438,324,183,177,5,Large Urban,25.673940949935815,Second,Least deprived,Urban
S01006639,26,924,3,1694,2,1740,1490,1655,2308,6179,681,205,228,98,18.52,Large Urban,28.13852813852814,Second,Least deprived,Urban
S01006640,21,822,9,5973,5,5695,6692,6491,3610,4951,2794,1145.5,112,51,3.33,Large Urban,25.547445255474457,Least deprived,Fourth,Urban
S01006641,17,1044,6,3513,3,3967,3923,2852,2997,6470,1976,220,147,152,9.38,Large Urban,16.28352490421456,Third,Least deprived,Urban
S01006642,26,1299,6,3554,3,4032,3725,3677,3174,5650,638,207,168,153,3.23,Large Urban,20.015396458814475,Third,Least deprived,Urban
S01006643,19,698,8,5411,4,5824,5073,5160,4559,5750,2335,219,70,140,0,Large Urban,27.22063037249284,Least deprived,Least deprived,Urban
S01006644,18,1139,7,4370,4,4354,4609,4100,3951,4306,2766,288,52,28,2.78,Large Urban,15.803336259877089,Fourth,Fourth,Urban
S01006645,14,688,2,1007,1,1049,1969,874,1306,4960,104,769,248,127,21.43,Large Urban,20.348837209302328,Most deprived,Fourth,Urban
S01006646,83,861,6,3888,3,4871,4431,5686,1775,4665,311,195,81,26,0,Large Urban,96.39953542392568,Fourth,Fourth,Urban
S01006647,16,625,5,2962,3,2616,3461,3026,3013,4372,2027,597,119,192,7.69,Large Urban,25.6,Second,Fourth,Urban
S01006648,39,1751,6,3506,3,4103,4607,3531,2898,4732,599,163,87,49,3.23,Large Urban,22.27298686464877,Third,Fourth,Urban
S01006649,15,954,4,2287,2,2481,2411,1966,2839,6660,675,642,132,106,8.82,Large Urban,15.723270440251572,Second,Least deprived,Urban
S01006650,15,801,4,2621,2,3497,2781,3438,1088,6715,576,164,202,213,7.14,Large Urban,18.726591760299627,Third,Least deprived,Urban
S01006651,17,677,4,2106,2,3031,3335,2813,536,6545,255,188,190,53,15.38,Large Urban,25.110782865583456,Third,Least deprived,Urban
S01006652,13,744,8,5477,4,5319,5609,5873,4065,5412,1896,579,80,15,14.29,Large Urban,17.473118279569892,Fourth,Fourth,Urban
S01006653,10,545,8,5467,4,4731,5539,4998,4785,5739,2844,2877,86,19,4.76,Large Urban,18.34862385321101,Fourth,Least deprived,Urban
S01006654,21,877,2,1188,1,1396,1021,1132,982,4012,1544,1262,312,172,3.03,Large Urban,23.94526795895097,Second,Third,Urban
S01006655,20,809,6,3637,3,4380,3356,2947,4888,3405,909,1776,34,84,0,Large Urban,24.72187886279357,Fourth,Third,Urban
S01006656,31,980,5,3391,3,3245,3665,3314,2916,6407,1310,814,114,53,10.81,Large Urban,31.632653061224488,Third,Least deprived,Urban
S01006657,10,525,4,2576,2,3333,3538,3234,2055,5969,4,296,76,95,6.67,Large Urban,19.04761904761905,Third,Least deprived,Urban
S01006658,21,1204,4,2192,2,2734,2634,2892,787,4641,1380,180,183,262,13.33,Large Urban,17.441860465116278,Second,Fourth,Urban
S01006659,13,603,10,6318,5,6482,6035,6703,3570,5697,4169,911,109,96,5.88,Large Urban,21.55887230514096,Least deprived,Least deprived,Urban
S01006660,9,505,4,2358,2,2065,4556,3367,1030,5213,1169,137,113,149,11.76,Large Urban,17.82178217821782,Second,Fourth,Urban
S01006661,11,592,8,4909,4,5353,5307,5865,1461,5962,4113,435,42,41,5.26,Large Urban,18.58108108108108,Fourth,Least deprived,Urban
S01006662,13,893,4,2481,2,3086,3329,3344,696,4426,1520,923,100,185,16.67,Large Urban,14.557670772676373,Third,Fourth,Urban
S01006663,18,568,10,6784,5,6808,6544,6845,5656,5805,4660,293,167,91,8.33,Large Urban,31.69014084507042,Least deprived,Least deprived,Urban
S01006664,9,578,8,5245,4,5382.5,4932,5338,3575,6411,2254.5,460,93,22,0,Large Urban,15.570934256055365,Fourth,Least deprived,Urban
S01006665,20,773,8,5380,4,5094,5500,5460.5,4347,5999,3068,141,55,89,4.55,Large Urban,25.873221216041397,Fourth,Least deprived,Urban
S01006666,22,1001,2,973,1,1033,855,956,1419,4581,629,603,432,350,18.75,Large Urban,21.978021978021975,Most deprived,Fourth,Urban
S01006667,10,750,1,552,1,977,882,510,248,5434,274,350,188,338,24.39,Large Urban,13.333333333333334,Most deprived,Fourth,Urban
S01006668,15,902,7,4426,4,4696,5297,4855,2771,3292,2418,311,42,133,9.09,Large Urban,16.62971175166297,Fourth,Third,Urban
S01006669,37,965,4,2723,2,2846,2329,2137,5414,5240,991,611,168,189,0,Large Urban,38.3419689119171,Third,Fourth,Urban
S01006670,17,857,6,4012,3,3865,3733,4217,5083,3900,1172,316,111,64,16.67,Large Urban,19.83663943990665,Third,Third,Urban
S01006671,19,2029,9,6190,5,6849,6944,6916,4606,1560,5221,982,59,21,23.08,Large Urban,9.36421882700838,Least deprived,Second,Urban
S01006672,21,801,4,2208,2,2246,1956,3174,1013,6685,1474,320.5,230,149,25,Large Urban,26.21722846441948,Second,Least deprived,Urban
S01006673,20,862,4,2373,2,2404,2452,2557,1924,5510,1249,1135,297,189,23.33,Large Urban,23.20185614849188,Second,Fourth,Urban
S01006674,13,913,2,1045,1,1301,1678,525,1585,4409,1375,815,235,164,21.28,Large Urban,14.238773274917854,Most deprived,Fourth,Urban
S01006675,13,915,3,1512,2,1473,1924,1785,763,4810,1794,1379,226,384,44.44,Large Urban,14.207650273224044,Second,Fourth,Urban
S01006676,16,734,2,1077,1,1342,1355,860,1204,4606,467,823,169,184,29.41,Large Urban,21.7983651226158,Most deprived,Fourth,Urban
S01006677,18,724,2,753,1,1014.5,543,555,1485,4486,509,1145.5,608,387,22.58,Large Urban,24.86187845303867,Most deprived,Fourth,Urban
S01006678,38,1690,3,1595,2,1722,1988,1603,1119,3930,1524,1318,163,68,19.8,Large Urban,22.485207100591715,Second,Third,Urban
S01006679,15,614,9,5716,5,5346,5098,5422.5,3496,6039,5469,3224,54,0,13.04,Large Urban,24.4299674267101,Fourth,Least deprived,Urban
S01006680,11,891,2,1326,1,1444,2110,1492.5,483,3718,2082,1060,258,168,22.64,Large Urban,12.34567901234568,Second,Third,Urban
S01006681,18,773,3,1681,2,1778,1235,1664,1681,4536,2592,683,293,224,19.23,Large Urban,23.28589909443726,Second,Fourth,Urban
S01006682,18,940,3,1547,2,1291,1689,1876,1055,6515,1864,653,249,222,29.41,Large Urban,19.148936170212767,Most deprived,Least deprived,Urban
S01006683,16,930,3,1599,2,1231,2235,1835,1095,6445,1757,760,192,110,41.51,Large Urban,17.204301075268816,Most deprived,Least deprived,Urban
S01006684,24,703,1,268,1,664,502,208,58,6836,282,500,259,202,13.79,Large Urban,34.139402560455196,Most deprived,Least deprived,Urban
S01006685,14,671,2,1224,1,1186,1268,825,2282,6642,647,1093,211,421,16,Large Urban,20.864381520119228,Most deprived,Least deprived,Urban
S01006686,10,593,4,2157,2,1952,2293,2110,1477,5359,3588,1767,189,119,28.57,Large Urban,16.863406408094434,Second,Fourth,Urban
S01006687,19,735,4,2231,2,2322,2694,2104,1163,5474,3307,1958,127,99,20,Large Urban,25.85034013605442,Second,Fourth,Urban
S01006688,30,915,7,4429,4,3494,3463,4589,4996,3769,3416,3943,98,35,6.9,Large Urban,32.786885245901644,Third,Third,Urban
S01006689,24,931,10,6887,5,6886,6891,6918,5685,4639,3630,4727,4,25,0,Large Urban,25.77873254564984,Least deprived,Fourth,Urban
S01006690,9,583,6,4118,3,3997,3723,3793,2615,5991,4077,2305,212,165,0,Large Urban,15.437392795883362,Third,Least deprived,Urban
S01006691,19,623,8,5313,4,5230,4704,4817.5,3561,5503,3975,4193,80,65,0,Large Urban,30.497592295345104,Fourth,Fourth,Urban
S01006692,17,754,8,5381,4,5225.5,4429,4477,4145,6213,4736,4565,43,120,6.67,Large Urban,22.546419098143236,Fourth,Least deprived,Urban
S01006693,27,960,6,4131,3,3507,4242,4117,3784,6752,1832,633,103,72,13.33,Large Urban,28.125,Third,Least deprived,Urban
S01006694,21,896,2,1219,1,1531,1147,906,2172,1755,1229,2413,194,256,23.68,Large Urban,23.4375,Second,Second,Urban
S01006695,21,732,4,2631,2,2999,2961,2212,3563,2379,1202,3876,96,80,21.05,Large Urban,28.688524590163937,Third,Second,Urban
S01006696,21,804,3,2079,2,2355,2503,2227,1979,2351,1103,677,85,225,17.24,Large Urban,26.119402985074625,Second,Second,Urban
S01006697,16,917,4,2095,2,2558,2370,1632,2805,2092,1640,1868,230,131,10.81,Large Urban,17.448200654307524,Second,Second,Urban
S01006698,13,783,2,982,1,891,1192,955,1986,2329,699,1268,112,180,37.04,Large Urban,16.602809706257982,Most deprived,Second,Urban
S01006699,10,500,8,5068,4,5278,5218,5596,4420,2500,1867,1072,88,80,7.14,Large Urban,20,Fourth,Second,Urban
