datazone,retailer_count,total_population,simd_decile,simd_rank,simd_quintile,income_rank,health_rank,employment_rank,education_rank,access_rank,crime_rank,housing_rank,alcohol_admissions,drug_admissions,smoking_rate,urban_rural,retailers_adj,income_quintile,access_quintile,urban_rural_2cat
S01008122,25,691,10,6803,5,6730.5,6041,6450,6739,2834,6577,6528,10,23,0,Other Urban,36.1794500723589,Least deprived,Third,Urban
S01008123,37,851,10,6850,5,6427,6263,6789.5,6837,3184,6456,5636,8,21,0,Other Urban,43.47826086956522,Least deprived,Third,Urban
S01008124,16,775,10,6312,5,6374,5114,6111,6756,1890,6835,6223,123,21,0,Other Urban,20.64516129032258,Least deprived,Second,Urban
S01008125,28,891,9,5906,5,5550,5431,5521,6129,2264,5781,6083,17,20,3.33,Other Urban,31.425364758698095,Fourth,Second,Urban
S01008126,20,725,10,6320,5,6083.5,6112,6280,6495,1783,6338,5078,60,0,0,Other Urban,27.58620689655172,Least deprived,Second,Urban
S01008127,18,791,10,6647,5,6936,6056,6926,6334,1765,5339,6048,38,0,0,Other Urban,22.756005056890015,Least deprived,Second,Urban
S01008128,26,833,10,6446,5,5970,4989,5481,6457,5520,5183,5518,29,0,5.56,Other Urban,31.2124849939976,Least deprived,Fourth,Urban
S01008129,25,900,4,2142,2,1932,1511,1711,3107,5778,3378,2366,167,225,16,Other Urban,27.777777777777775,Second,Least deprived,Urban
S01008130,59,938,3,1955,2,1877,1435,1755.5,2553,5386,1716,1711,116,154,14.81,Other Urban,62.8997867803838,Second,Fourth,Urban
S01008131,26,831,2,1267,1,1293,931,817,2794,4315,2434,1423,166,35,21.43,Other Urban,31.28760529482551,Most deprived,Fourth,Urban
S01008132,46,1138,9,6202,5,5567,4642,5263,6300,5002,6457,6363,36,16,0,Other Urban,40.421792618629176,Fourth,Fourth,Urban
S01008133,32,610,4,2526,2,2536,1872,1772,5582,6149,1022,4086,192,138,16.67,Other Urban,52.459016393442624,Second,Least deprived,Urban
S01008134,29,597,4,2377,2,2430,3046,1542,5625,6450,254,2221,122,0,0,Other Urban,48.57621440536013,Second,Least deprived,Urban
S01008135,30,1083,4,2222,2,2695,1234,1722,5562,3905,721,2494.5,202,154,15.38,Other Urban,27.700831024930743,Second,Third,Urban
S01008136,18,819,4,2361,2,2326,1726,1999,3899,5181,1325,4142,112,37,26.67,Other Urban,21.978021978021975,Second,Fourth,Urban
S01008137,28,880,1,199,1,137,119,102,1657,5518,1366,728,259,52,29.73,Other Urban,31.818181818181817,Most deprived,Fourth,Urban
S01008138,26,881,2,717,1,806,464,640,812,4785,2865,1050,201,147,21.05,Other Urban,29.511918274687854,Most deprived,Fourth,Urban
S01008139,34,950,1,637,1,476,511,376,2827,4205,2081,2926,223,154,23.08,Other Urban,35.78947368421052,Most deprived,Fourth,Urban
S01008140,18,617,3,1855,2,1513,1425,2067,2567,4428,1119,2132,110,102,22.22,Other Urban,29.173419773095624,Second,Fourth,Urban
S01008141,17,756,9,5649,5,5545,4478,4772,5684,3299,6623,5740,65,0,7.14,Other Urban,22.486772486772484,Fourth,Third,Urban
S01008142,17,790,9,6184,5,5880.5,5618,5438,6014,3321,5336,5491,27,0,4,Other Urban,21.518987341772153,Least deprived,Third,Urban
S01008143,38,936,3,1788,2,1459,2034,1683,2835,2193,2635,2030,117,66,12.12,Other Urban,40.5982905982906,Second,Second,Urban
S01008144,68,2459,9,5823,5,6568,6220,6489,6291,627,5068,2985,37,13,2.87,Other Urban,27.653517690117933,Least deprived,Most deprived,Urban
S01008145,29,890,4,2262,2,2381,2199,3512,1386,1272,3514,1506,80,38,19.44,Accessible Rural,32.58426966292135,Second,Most deprived,Rural
S01008146,25,499,4,2191,2,2629,2310,2932,2153,570,2586,1935,206,0,0,Accessible Rural,50.1002004008016,Second,Most deprived,Rural
S01008147,9,764,5,3126,3,3674,2563,2919,4670,968,5835,1780,133,20,12,Other Urban,11.780104712041885,Third,Most deprived,Urban
S01008148,16,707,5,3338,3,3788,3588,2282,6167,1605,2839,4173,80,20,15,Other Urban,22.63083451202263,Third,Second,Urban
S01008149,21,688,4,2356,2,2113,2664,2001,4141,1705,4802,2790.5,74,22,22.73,Other Urban,30.523255813953487,Second,Second,Urban
S01008150,15,874,3,1897,2,1713,1836,1519,3726,1995,3818,1853,159,183,9.68,Other Urban,17.162471395881006,Second,Second,Urban
S01008151,19,662,3,2066,2,2038,1641,1483,3716,3382,3894,1875,96,90,5.56,Other Urban,28.70090634441088,Second,Third,Urban
S01008152,28,990,4,2151,2,2408,1303,1845,3052,2884,4305,1899,149,90,4.17,Other Urban,28.282828282828284,Second,Third,Urban
S01008153,15,861,8,5396,4,6006,4140,5918,6224,742,6854,5642,37,41,0,Accessible Small Towns,17.421602787456447,Least deprived,Most deprived,Urban
S01008154,19,757,7,4496,4,4783,3648,4087,5313,1297,5819,5846,161,0,0,Accessible Small Towns,25.09907529722589,Fourth,Most deprived,Urban
S01008155,14,678,6,4114,3,3772,5523,4201,4153,876,5985,5525,21,0,18.18,Accessible Small Towns,20.64896755162242,Third,Most deprived,Urban
S01008156,36,926,5,3242,3,3343,2167,3481,3056,2138,6073,4099,118,87,13.33,Accessible Small Towns,38.8768898488121,Third,Second,Urban
S01008157,19,826,7,4456,4,4250,3578,4247,4773,1872,6182,4883,92,0,12,Accessible Small Towns,23.002421307506054,Fourth,Second,Urban
